Student_ID,First_Name,Last_Name,Gender,Date_Of_Birth
01,James,Smith,Male,11/24/2001
02,Mary,Johnson,Female,12/22/1996
03,John,Williams,Male,02/09/1999
04,Patricia,Jones,Female,07/23/1998
05,Robert,Brown,Male,01/08/2002
06,Jennifer,Davis,Female,12/09/2000
07,Michael,Miller,Male,08/08/1986
08,Linda,Wilson,Female,08/10/2001
09,William,Moore,Male,11/16/1987
10,Elizabeth,Taylor,Female,06/14/1990
11,David,Anderson,Male,07/12/1995
12,Barbara,Thomas,Female,10/17/2003
13,Joseph,Jackson,Male,02/19/1989
14,Susan,White,Female,09/24/1999
15,Charles,Harris,Male,11/11/1989
16,Jessica,Martin,Female,08/15/1991
17,Thomas,Thompson,Male,06/26/1998
18,Sarah,Garcia,Female,06/15/2003
19,Daniel,Martinez,Male,02/19/1997
20,Karen,Roberts,Female,12/28/1996
